# Run=pixel_017 DC hysteresis follow-up
# theta_i_HWP_deg=52.895
# V_AC_Vpp=9.0
# ANL_peak_deg=123.549
# Q_null_deg=137.055
# A_null_deg=78.545
# EO_lockin_reference_phase_deg=-173.109326055
# Rotation_reference_phase_deg=-173.254735523
# DC_fringe_null_power_W=4.71450225564e-06
# DC_fringe_quadrature_power_W=0.000157731885714
# DC_fringe_bright_power_W=0.000310749269173
# DC_HYST_VMAX=40.0
# DC_HYST_COARSE_STEP=5.0
# DC_HYST_FINE_STEP=2.5
# DC_HYST_FINE_LIMIT=10.0
# DC_HYST_GRID_PROFILE=center_dense
# DC_HYST_SPACING=centre-dense standard (+/-[40, 30, 25, 20, 15, 12.5, 10, 7.5, 5, 2.5, 1.25, 0] V, including 0 V)
# DC_HYST_VOLTAGE_LEVELS_V=[-40.0,-30.0,-25.0,-20.0,-15.0,-12.5,-10.0,-7.5,-5.0,-2.5,-1.25,0.0,1.25,2.5,5.0,7.5,10.0,12.5,15.0,20.0,25.0,30.0,40.0]
# Trajectory=+->->+ (saturated)
# Cycles=1
# Fine_windows=[]
# Poling_dwell_s=30.0
# Lock_in_settle_s=2.5
# Lock_in_avg_readings=4
# Lock_in_read_delay_s=2.0
# Lock_in_tc_index=14
# Lock_in_sensitivity_index=16
# Lock_in_range_mode=fixed
# Lock_in_range_changes=0
# Lock_in_range_rescue_rereads=0
# Lock_in_input_overload_points=0
# Lock_in_output_overload_points=0
# AC_dither_Vpp=4.0
# Voltage_sequence=DC-only_pole_then_gated_AC_measurement
# AC_enabled_during_DC_ramp_or_poling=False
# SMU_electrical_sample_phase=after_DC_poling_before_AC_enable
# SMU_V_read_semantics=measured_terminal_voltage
# SMU_DC_readback_tolerance_V=0.5
# SMU_DC_readback_attempts=3
# Compliance_A=0.03
# N_compliance_trips=0
idx,t_s,branch,V_dc_V,P_dc_W,LockIn_Mag_V,LockIn_Phase_deg,LockIn_Sens_V,LockIn_Mag_Std_V,LockIn_Phase_Std_deg,N_ok,cycle,LockIn_X_V,LockIn_Y_V,SMU_I_A,SMU_V_read_V,compliance_tripped,AC_Vpp,AC_measurement_window_s,SMU_V_measured_V,SMU_V_set_V,LockIn_Sens_Index,LockIn_Range_Mode,LockIn_Range_Predicted_V,LockIn_Range_Noise_Prior_V,LockIn_Range_Upper_Bound_V,LockIn_Range_Requested_Index,LockIn_Range_Change_Reason,LockIn_Range_Changed,LockIn_Range_Rescue_Reread,LockIn_XY_Noise_Sigma_V,LockIn_Overload_Byte,LockIn_Overload_Byte_Observed,LockIn_Status_Byte,LockIn_Status_Byte_Observed,LockIn_Output_Overload_Observed,LockIn_Output_Overload_Final,LockIn_Input_Overload
21,964.739,down,-30.0000,1.539952e-04,1.828480e-05,9.2834,2.000000e-04,7.728422e-08,0.3109,4,1,1.804531e-05,2.949679e-06,-2.237550e-03,-30.0000,0,4.0000,13.3477,-30.0000,-30.0000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.098750e-07,0,0,33,33,0,0,0
22,1008.985,down,-40.0000,1.540384e-04,2.453492e-05,7.5644,2.000000e-04,1.268718e-07,0.1645,4,1,2.432141e-05,3.229789e-06,-3.119230e-03,-40.0000,0,4.0000,13.3592,-40.0000,-40.0000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.345260e-07,0,0,33,33,0,0,0
23,1053.230,up,-30.0000,1.548970e-04,2.099468e-05,8.6771,2.000000e-04,4.459374e-08,0.3632,4,1,2.075438e-05,3.167378e-06,-2.214800e-03,-30.0000,0,4.0000,13.3451,-30.0000,-30.0000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.269675e-07,0,0,33,33,0,0,0
24,1097.068,up,-25.0000,1.552819e-04,1.874500e-05,9.2825,2.000000e-04,5.507419e-08,0.0395,4,1,1.849953e-05,3.023626e-06,-1.814600e-03,-25.0000,0,4.0000,13.3547,-25.0000,-25.0000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.000000e-07,0,0,33,33,0,0,0
25,1140.896,up,-20.0000,1.550064e-04,1.613986e-05,10.5143,2.000000e-04,5.890892e-08,0.2786,4,1,1.586886e-05,2.945204e-06,-1.423940e-03,-20.0000,0,4.0000,13.3430,-20.0000,-20.0000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.000000e-07,0,0,33,33,0,0,0
26,1184.739,up,-15.0000,1.541203e-04,1.315979e-05,11.0016,2.000000e-04,1.479475e-07,0.3773,4,1,1.291793e-05,2.511366e-06,-1.058570e-03,-15.0000,0,4.0000,13.3454,-15.0000,-15.0000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.508457e-07,0,0,33,33,0,0,0
27,1228.598,up,-12.5000,1.541003e-04,1.149988e-05,11.4578,2.000000e-04,1.118872e-07,0.3069,4,1,1.127070e-05,2.284397e-06,-8.820430e-04,-12.5000,0,4.0000,13.3748,-12.5000,-12.5000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.088886e-07,0,0,33,33,0,0,0
28,1272.424,up,-10.0000,1.544492e-04,9.919728e-06,12.0722,2.000000e-04,8.460415e-08,0.4916,4,1,9.700350e-06,2.074656e-06,-7.092370e-04,-10.0000,0,4.0000,13.3398,-10.0000,-10.0000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.000000e-07,0,0,33,33,0,0,0
29,1316.259,up,-7.5000,1.554424e-04,1.008974e-05,15.2602,2.000000e-04,6.196677e-08,0.4787,4,1,9.733976e-06,2.655653e-06,-5.383650e-04,-7.5000,0,4.0000,13.3372,-7.5000,-7.5000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.000000e-07,0,0,33,33,0,0,0
30,1360.109,up,-5.0000,1.540219e-04,7.614820e-06,19.7255,2.000000e-04,6.615597e-08,0.4541,4,1,7.167986e-06,2.570109e-06,-3.636470e-04,-5.0000,0,4.0000,13.3646,-5.0000,-5.0000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.000000e-07,0,0,33,33,0,0,0
