# Run=pixel_094 DC hysteresis follow-up
# theta_i_HWP_deg=41.645
# V_AC_Vpp=9.0
# ANL_peak_deg=95.761
# Q_null_deg=111.486
# A_null_deg=50.759
# EO_lockin_reference_phase_deg=-29.4666912952
# Rotation_reference_phase_deg=-35.3143953111
# DC_fringe_null_power_W=3.19560902256e-06
# DC_fringe_quadrature_power_W=0.000138793948872
# DC_fringe_bright_power_W=0.000274392288722
# DC_HYST_VMAX=50.0
# DC_HYST_COARSE_STEP=5.0
# DC_HYST_FINE_STEP=2.5
# DC_HYST_FINE_LIMIT=10.0
# DC_HYST_GRID_PROFILE=center_dense
# DC_HYST_SPACING=centre-dense standard (+/-[50, 40, 30, 25, 20, 15, 12.5, 10, 7.5, 5, 2.5, 1.25, 0] V, including 0 V)
# DC_HYST_VOLTAGE_LEVELS_V=[-50.0,-40.0,-30.0,-25.0,-20.0,-15.0,-12.5,-10.0,-7.5,-5.0,-2.5,-1.25,0.0,1.25,2.5,5.0,7.5,10.0,12.5,15.0,20.0,25.0,30.0,40.0,50.0]
# Trajectory=+->->+ (saturated)
# Cycles=1
# Fine_windows=[]
# Poling_dwell_s=30.0
# Lock_in_settle_s=2.5
# Lock_in_avg_readings=4
# Lock_in_read_delay_s=2.0
# Lock_in_tc_index=14
# Lock_in_sensitivity_index=14
# Lock_in_range_mode=predictive_hysteretic
# Lock_in_dynamic_range_indices=[11,12,13,14,15,16]
# Lock_in_dynamic_fullscales_uV=[5.0,10.0,20.0,50.0,100.0,200.0]
# Lock_in_dynamic_target_fraction=0.6
# Lock_in_dynamic_rescue_fraction=0.85
# Lock_in_range_changes=1
# Lock_in_range_rescue_rereads=0
# Lock_in_input_overload_points=0
# Lock_in_output_overload_points=0
# AC_dither_Vpp=4.0
# Voltage_sequence=DC-only_pole_then_gated_AC_measurement
# AC_enabled_during_DC_ramp_or_poling=False
# SMU_electrical_sample_phase=after_DC_poling_before_AC_enable
# SMU_V_read_semantics=measured_terminal_voltage
# SMU_DC_readback_tolerance_V=0.5
# SMU_DC_readback_attempts=3
# Compliance_A=0.05
# N_compliance_trips=0
idx,t_s,branch,V_dc_V,P_dc_W,LockIn_Mag_V,LockIn_Phase_deg,LockIn_Sens_V,LockIn_Mag_Std_V,LockIn_Phase_Std_deg,N_ok,cycle,LockIn_X_V,LockIn_Y_V,SMU_I_A,SMU_V_read_V,compliance_tripped,AC_Vpp,AC_measurement_window_s,SMU_V_measured_V,SMU_V_set_V,LockIn_Sens_Index,LockIn_Range_Mode,LockIn_Range_Predicted_V,LockIn_Range_Noise_Prior_V,LockIn_Range_Upper_Bound_V,LockIn_Range_Requested_Index,LockIn_Range_Change_Reason,LockIn_Range_Changed,LockIn_Range_Rescue_Reread,LockIn_XY_Noise_Sigma_V,LockIn_Overload_Byte,LockIn_Overload_Byte_Observed,LockIn_Status_Byte,LockIn_Status_Byte_Observed,LockIn_Output_Overload_Observed,LockIn_Output_Overload_Final,LockIn_Input_Overload
20,921.281,down,-20.0000,1.373044e-04,1.079092e-06,-26.8516,5.000000e-06,1.068407e-07,0.5249,4,1,9.627433e-07,-4.874057e-07,-2.073130e-05,-20.0000,0,4.0000,13.3623,-20.0000,-20.0000,11,predictive_hysteretic,8.932274e-07,1.000000e-07,1.293227e-06,11,predictive_hold,0,0,1.000000e-07,0,0,33,33,0,0,0
21,965.082,down,-25.0000,1.383163e-04,1.050931e-06,-28.6734,5.000000e-06,6.362763e-08,5.1636,4,1,9.220549e-07,-5.042531e-07,-3.138380e-05,-25.0000,0,4.0000,13.3175,-25.0000,-25.0000,11,predictive_hysteretic,1.352075e-06,1.000000e-07,1.752075e-06,11,predictive_hold,0,0,1.000000e-07,0,0,33,33,0,0,0
22,1008.930,down,-30.0000,1.384409e-04,1.125148e-06,-26.9309,5.000000e-06,7.952990e-08,3.3531,4,1,1.003130e-06,-5.095964e-07,-4.670810e-05,-30.0000,0,4.0000,13.3490,-30.0000,-30.0000,11,predictive_hysteretic,1.022771e-06,1.000000e-07,1.422771e-06,11,predictive_hold,0,0,1.000000e-07,0,0,33,33,0,0,0
23,1053.154,down,-40.0000,1.383215e-04,1.336750e-06,-28.5294,5.000000e-06,4.146694e-08,2.7251,4,1,1.174432e-06,-6.384441e-07,-1.476260e-04,-40.0000,0,4.0000,13.3352,-40.0000,-40.0000,11,predictive_hysteretic,1.273583e-06,1.000000e-07,1.673583e-06,11,predictive_hold,0,0,1.000000e-07,0,0,33,33,0,0,0
24,1097.409,down,-50.0000,1.382085e-04,1.331845e-06,-29.5876,5.000000e-06,7.358109e-08,6.8237,4,1,1.158175e-06,-6.576029e-07,-2.483650e-04,-50.0000,0,4.0000,13.3536,-50.0000,-50.0000,11,predictive_hysteretic,1.548352e-06,1.000000e-07,1.948352e-06,11,predictive_hold,0,0,1.616374e-07,0,0,33,33,0,0,0
25,1141.644,up,-40.0000,1.379484e-04,1.255467e-06,-29.9883,5.000000e-06,1.057066e-07,2.5455,4,1,1.087394e-06,-6.275116e-07,-1.739470e-04,-40.0000,0,4.0000,13.3455,-40.0000,-40.0000,11,predictive_hysteretic,1.336750e-06,1.616374e-07,1.983300e-06,11,predictive_hold,0,0,1.188822e-07,0,0,33,33,0,0,0
26,1185.883,up,-30.0000,1.378678e-04,1.177877e-06,-33.4409,5.000000e-06,7.578516e-08,3.0021,4,1,9.828852e-07,-6.491003e-07,-1.067240e-04,-29.9999,0,4.0000,13.3525,-29.9999,-30.0000,11,predictive_hysteretic,1.255467e-06,1.616374e-07,1.902016e-06,11,predictive_hold,0,0,1.000000e-07,0,0,33,33,0,0,0
27,1229.718,up,-25.0000,1.373835e-04,1.153677e-06,-30.8005,5.000000e-06,5.392204e-08,2.5193,4,1,9.909570e-07,-5.907414e-07,-7.572510e-05,-24.9999,0,4.0000,13.3459,-24.9999,-25.0000,11,predictive_hysteretic,1.139082e-06,1.616374e-07,1.785632e-06,11,predictive_hold,0,0,1.000000e-07,0,0,33,33,0,0,0
28,1273.555,up,-20.0000,1.369829e-04,1.026155e-06,-25.8731,5.000000e-06,1.647439e-07,3.1167,4,1,9.232963e-07,-4.477928e-07,-5.251750e-05,-20.0000,0,4.0000,13.3352,-20.0000,-20.0000,11,predictive_hysteretic,1.129477e-06,1.616374e-07,1.776027e-06,11,predictive_hold,0,0,1.611700e-07,0,0,33,33,0,0,0
29,1317.399,up,-15.0000,1.378262e-04,9.452404e-07,-22.8703,5.000000e-06,1.641368e-07,6.4473,4,1,8.709322e-07,-3.673644e-07,-3.367750e-05,-15.0000,0,4.0000,13.3451,-15.0000,-15.0000,11,predictive_hysteretic,8.986331e-07,1.611700e-07,1.543313e-06,11,predictive_hold,0,0,1.630326e-07,0,0,33,33,0,0,0
