# Run=pixel_081 DC hysteresis follow-up
# theta_i_HWP_deg=345.395
# V_AC_Vpp=9.0
# ANL_peak_deg=174.475
# Q_null_deg=6.276
# A_null_deg=129.466
# EO_lockin_reference_phase_deg=121.071020572
# Rotation_reference_phase_deg=122.540348362
# DC_fringe_null_power_W=3.46367518797e-06
# DC_fringe_quadrature_power_W=0.000144403524812
# DC_fringe_bright_power_W=0.000285343374436
# DC_HYST_VMAX=50.0
# DC_HYST_COARSE_STEP=5.0
# DC_HYST_FINE_STEP=2.5
# DC_HYST_FINE_LIMIT=10.0
# DC_HYST_GRID_PROFILE=center_dense
# DC_HYST_SPACING=centre-dense standard (+/-[50, 40, 30, 25, 20, 15, 12.5, 10, 7.5, 5, 2.5, 1.25, 0] V, including 0 V)
# DC_HYST_VOLTAGE_LEVELS_V=[-50.0,-40.0,-30.0,-25.0,-20.0,-15.0,-12.5,-10.0,-7.5,-5.0,-2.5,-1.25,0.0,1.25,2.5,5.0,7.5,10.0,12.5,15.0,20.0,25.0,30.0,40.0,50.0]
# Trajectory=+->->+ (saturated)
# Cycles=1
# Fine_windows=[]
# Poling_dwell_s=30.0
# Lock_in_settle_s=2.5
# Lock_in_avg_readings=4
# Lock_in_read_delay_s=2.0
# Lock_in_tc_index=14
# Lock_in_sensitivity_index=14
# Lock_in_range_mode=predictive_hysteretic
# Lock_in_dynamic_range_indices=[11,12,13,14,15,16]
# Lock_in_dynamic_fullscales_uV=[5.0,10.0,20.0,50.0,100.0,200.0]
# Lock_in_dynamic_target_fraction=0.6
# Lock_in_dynamic_rescue_fraction=0.85
# Lock_in_range_changes=13
# Lock_in_range_rescue_rereads=1
# Lock_in_input_overload_points=0
# Lock_in_output_overload_points=0
# AC_dither_Vpp=4.0
# Voltage_sequence=DC-only_pole_then_gated_AC_measurement
# AC_enabled_during_DC_ramp_or_poling=False
# SMU_electrical_sample_phase=after_DC_poling_before_AC_enable
# SMU_V_read_semantics=measured_terminal_voltage
# SMU_DC_readback_tolerance_V=0.5
# SMU_DC_readback_attempts=3
# Compliance_A=0.05
# N_compliance_trips=0
idx,t_s,branch,V_dc_V,P_dc_W,LockIn_Mag_V,LockIn_Phase_deg,LockIn_Sens_V,LockIn_Mag_Std_V,LockIn_Phase_Std_deg,N_ok,cycle,LockIn_X_V,LockIn_Y_V,SMU_I_A,SMU_V_read_V,compliance_tripped,AC_Vpp,AC_measurement_window_s,SMU_V_measured_V,SMU_V_set_V,LockIn_Sens_Index,LockIn_Range_Mode,LockIn_Range_Predicted_V,LockIn_Range_Noise_Prior_V,LockIn_Range_Upper_Bound_V,LockIn_Range_Requested_Index,LockIn_Range_Change_Reason,LockIn_Range_Changed,LockIn_Range_Rescue_Reread,LockIn_XY_Noise_Sigma_V,LockIn_Overload_Byte,LockIn_Overload_Byte_Observed,LockIn_Status_Byte,LockIn_Status_Byte_Observed,LockIn_Output_Overload_Observed,LockIn_Output_Overload_Final,LockIn_Input_Overload
20,931.503,down,-20.0000,1.461784e-04,3.538926e-06,-46.2688,1.000000e-05,1.128631e-07,1.4213,4,1,2.446374e-06,-2.557196e-06,-5.870870e-05,-20.0000,0,4.0000,13.3396,-20.0000,-20.0000,12,predictive_hysteretic,3.710486e-06,1.595091e-07,4.348522e-06,12,predictive_widen,1,0,1.288090e-07,0,0,33,33,0,0,0
21,975.345,down,-25.0000,1.461224e-04,4.800899e-06,-46.6636,1.000000e-05,3.829327e-08,0.7976,4,1,3.294761e-06,-3.491874e-06,-6.423900e-05,-25.0000,0,4.0000,13.3431,-25.0000,-25.0000,12,predictive_hysteretic,4.762685e-06,1.595091e-07,5.400721e-06,12,predictive_hold,0,0,1.000000e-07,0,0,33,33,0,0,0
22,1019.183,down,-30.0000,1.460616e-04,5.983904e-06,-48.2070,2.000000e-05,7.247957e-08,0.9337,4,1,3.987922e-06,-4.461344e-06,-6.928740e-05,-30.0000,0,4.0000,13.3534,-30.0000,-30.0000,13,predictive_hysteretic,6.062872e-06,1.595091e-07,6.700909e-06,13,predictive_widen,1,0,1.006172e-07,0,0,33,33,0,0,0
23,1063.418,down,-40.0000,1.461342e-04,8.943598e-06,-50.5569,2.000000e-05,3.054838e-07,0.6219,4,1,5.681967e-06,-6.906750e-06,-1.250320e-04,-39.9998,0,4.0000,13.3481,-39.9998,-40.0000,13,predictive_hysteretic,8.349915e-06,1.595091e-07,8.987951e-06,13,predictive_hold,0,0,2.412976e-07,0,0,33,33,0,0,0
24,1107.682,down,-50.0000,1.460895e-04,1.314095e-05,-51.9851,5.000000e-05,2.377418e-07,0.4451,4,1,8.093065e-06,-1.035311e-05,-1.801330e-04,-50.0000,0,4.0000,13.3734,-50.0000,-50.0000,14,predictive_hysteretic,1.190329e-05,2.412976e-07,1.286848e-05,14,predictive_widen,1,0,2.430549e-07,0,0,33,33,0,0,0
25,1151.910,up,-40.0000,1.459573e-04,1.125695e-05,-49.3119,5.000000e-05,5.566539e-08,0.6560,4,1,7.338865e-06,-8.535800e-06,-2.557110e-04,-40.0000,0,4.0000,13.3390,-40.0000,-40.0000,14,predictive_hysteretic,1.314095e-05,2.430549e-07,1.411317e-05,14,predictive_hold,0,0,1.121896e-07,0,0,33,33,0,0,0
26,1196.156,up,-30.0000,1.458433e-04,9.001988e-06,-47.5688,5.000000e-05,1.283006e-07,0.7031,4,1,6.073686e-06,-6.644255e-06,-1.541930e-04,-30.0000,0,4.0000,13.3598,-30.0000,-30.0000,14,predictive_hysteretic,1.125695e-05,2.430549e-07,1.222917e-05,14,predictive_hold,0,0,1.449483e-07,0,0,33,33,0,0,0
27,1239.976,up,-25.0000,1.455726e-04,7.527189e-06,-46.5097,5.000000e-05,1.276223e-07,0.6012,4,1,5.180449e-06,-5.460908e-06,-1.195070e-04,-25.0000,0,4.0000,13.3350,-25.0000,-25.0000,14,predictive_hysteretic,7.874509e-06,2.430549e-07,8.846729e-06,13,narrow_pending_hysteresis,0,0,1.200660e-07,0,0,33,33,0,0,0
28,1283.824,up,-20.0000,1.452709e-04,5.850784e-06,-46.0231,2.000000e-05,7.790084e-08,0.5679,4,1,4.062596e-06,-4.210343e-06,-8.297700e-05,-20.0000,0,4.0000,13.3489,-20.0000,-20.0000,13,predictive_hysteretic,6.052389e-06,2.430549e-07,7.024609e-06,13,confirmed_one_step_narrow,1,0,1.000000e-07,0,0,33,33,0,0,0
29,1327.668,up,-15.0000,1.459563e-04,4.430108e-06,-46.4937,2.000000e-05,3.496636e-08,0.8792,4,1,3.049839e-06,-3.213151e-06,-5.051900e-05,-15.0000,0,4.0000,13.3555,-15.0000,-15.0000,13,predictive_hysteretic,4.174379e-06,1.449483e-07,4.754172e-06,12,narrow_pending_hysteresis,0,0,1.000000e-07,0,0,33,33,0,0,0
30,1371.499,up,-12.5000,1.453433e-04,3.205359e-06,-46.4024,1.000000e-05,1.442330e-07,1.0260,4,1,2.210380e-06,-2.321324e-06,-3.565510e-05,-12.5000,0,4.0000,13.3460,-12.5000,-12.5000,12,predictive_hysteretic,3.719771e-06,1.449483e-07,4.299564e-06,12,confirmed_one_step_narrow,1,0,1.373281e-07,0,0,33,33,0,0,0
31,1415.341,up,-10.0000,1.460739e-04,2.207694e-06,-48.0630,1.000000e-05,4.140025e-08,2.8722,4,1,1.475432e-06,-1.642259e-06,-2.420520e-05,-10.0000,0,4.0000,13.3432,-10.0000,-10.0000,12,predictive_hysteretic,1.980609e-06,1.373281e-07,2.529921e-06,11,narrow_pending_hysteresis,0,0,1.000000e-07,0,0,33,33,0,0,0
32,1459.186,up,-7.5000,1.461771e-04,1.040950e-06,-58.6947,5.000000e-06,2.984362e-08,2.1568,4,1,5.408752e-07,-8.893995e-07,-1.546050e-05,-7.5000,0,4.0000,13.3601,-7.5000,-7.5000,11,predictive_hysteretic,1.210029e-06,1.373281e-07,1.759342e-06,11,confirmed_one_step_narrow,1,0,1.000000e-07,0,0,33,33,0,0,0
33,1503.009,up,-5.0000,1.460839e-04,2.218629e-06,156.2541,5.000000e-06,1.540370e-07,3.6850,4,1,-2.030800e-06,8.934007e-07,-8.562820e-06,-5.0000,0,4.0000,13.3392,-5.0000,-5.0000,11,predictive_hysteretic,1.978780e-07,1.373281e-07,7.471905e-07,11,predictive_hold,0,0,1.595099e-07,0,0,33,33,0,0,0
34,1546.861,up,-2.5000,1.460685e-04,1.458956e-06,156.8666,1.000000e-05,6.742666e-08,2.5237,4,1,-1.341645e-06,5.731853e-07,-3.820420e-06,-2.5000,0,4.0000,13.3518,-2.5000,-2.5000,12,predictive_hysteretic,3.396308e-06,1.595099e-07,4.034347e-06,12,predictive_widen,1,0,1.000000e-07,0,0,33,33,0,0,0
35,1590.705,up,-1.2500,1.460002e-04,2.184987e-06,163.7689,1.000000e-05,8.771595e-08,1.0226,4,1,-2.097898e-06,6.107311e-07,-1.935700e-06,-1.2500,0,4.0000,13.3445,-1.2500,-1.2500,12,predictive_hysteretic,2.978912e-06,1.595099e-07,3.616952e-06,12,predictive_hold,0,0,1.000000e-07,0,0,33,33,0,0,0
36,1634.497,up,0.0000,1.461124e-04,3.348493e-06,161.8023,1.000000e-05,9.436145e-08,2.1571,4,1,-3.181016e-06,1.045724e-06,3.810730e-08,-0.0000,0,4.0000,13.3056,-0.0000,0.0000,12,predictive_hysteretic,4.521358e-06,1.595099e-07,5.159398e-06,12,predictive_hold,0,0,1.257769e-07,0,0,33,33,0,0,0
37,1678.305,up,1.2500,1.458055e-04,4.068119e-06,156.2214,1.000000e-05,9.125942e-08,2.2677,4,1,-3.722777e-06,1.640283e-06,5.386930e-06,1.2500,0,4.0000,13.3086,1.2500,1.2500,12,predictive_hysteretic,4.511998e-06,1.595099e-07,5.150037e-06,12,predictive_hold,0,0,1.605463e-07,0,0,33,33,0,0,0
38,1722.148,up,2.5000,1.458153e-04,4.052726e-06,149.7733,1.000000e-05,6.508650e-08,1.8182,4,1,-3.501719e-06,2.040234e-06,2.014140e-05,2.5000,0,4.0000,13.3580,2.5000,2.5000,12,predictive_hysteretic,4.787746e-06,1.605463e-07,5.429931e-06,12,predictive_hold,0,0,1.112567e-07,0,0,33,33,0,0,0
39,1765.978,up,5.0000,1.460680e-04,3.024108e-06,137.3063,1.000000e-05,5.384978e-08,0.6370,4,1,-2.222687e-06,2.050583e-06,3.868670e-05,5.0000,0,4.0000,13.3447,5.0000,5.0000,12,predictive_hysteretic,4.021939e-06,1.605463e-07,4.664124e-06,12,predictive_hold,0,0,1.000000e-07,0,0,33,33,0,0,0
40,1809.811,up,7.5000,1.460259e-04,3.138113e-06,125.8800,1.000000e-05,7.269926e-08,1.9792,4,1,-1.839215e-06,2.542645e-06,4.175080e-05,7.5000,0,4.0000,13.3328,7.5000,7.5000,12,predictive_hysteretic,1.995490e-06,1.605463e-07,2.637675e-06,11,narrow_pending_hysteresis,0,0,1.000000e-07,0,0,33,33,0,0,0
41,1853.667,up,10.0000,1.460523e-04,3.195593e-06,122.8542,1.000000e-05,1.323841e-07,1.9455,4,1,-1.733618e-06,2.684470e-06,4.547080e-05,10.0000,0,4.0000,13.3686,10.0000,10.0000,12,predictive_hysteretic,3.252119e-06,1.605463e-07,3.894304e-06,12,predictive_hold,0,0,1.311758e-07,0,0,33,33,0,0,0
42,1897.493,up,12.5000,1.461594e-04,3.766858e-06,121.9657,1.000000e-05,5.902054e-08,2.0943,4,1,-1.994220e-06,3.195670e-06,4.865890e-05,12.5000,0,4.0000,13.3389,12.5000,12.5000,12,predictive_hysteretic,3.253072e-06,1.311758e-07,3.777775e-06,12,predictive_hold,0,0,1.225731e-07,0,0,33,33,0,0,0
43,1941.303,up,15.0000,1.459873e-04,4.058027e-06,122.0204,1.000000e-05,1.629978e-07,0.6989,4,1,-2.151652e-06,3.440637e-06,5.058490e-05,15.0000,0,4.0000,13.3129,15.0000,15.0000,12,predictive_hysteretic,4.338123e-06,1.311758e-07,4.862826e-06,12,predictive_hold,0,0,1.303923e-07,0,0,33,33,0,0,0
44,1985.149,up,20.0000,1.453536e-04,4.902332e-06,122.1608,1.000000e-05,1.430108e-07,0.8630,4,1,-2.609500e-06,4.150105e-06,6.548980e-05,20.0000,0,4.0000,13.3593,20.0000,20.0000,12,predictive_hysteretic,4.640366e-06,1.311758e-07,5.165069e-06,12,predictive_hold,0,0,1.275824e-07,0,0,33,33,0,0,0
45,2028.947,up,25.0000,1.458492e-04,5.674313e-06,122.4431,2.000000e-05,1.187665e-07,0.5408,4,1,-3.044054e-06,4.788691e-06,7.998280e-05,24.9999,0,4.0000,13.3105,24.9999,25.0000,13,predictive_hysteretic,5.746638e-06,1.311758e-07,6.271341e-06,13,predictive_widen,1,0,1.000000e-07,0,0,33,33,0,0,0
46,2072.756,up,30.0000,1.460084e-04,6.206060e-06,122.6195,2.000000e-05,1.067393e-07,1.1458,4,1,-3.345427e-06,5.227169e-06,9.104300e-05,30.0000,0,4.0000,13.3096,30.0000,30.0000,13,predictive_hysteretic,6.446294e-06,1.303923e-07,6.967863e-06,13,predictive_hold,0,0,1.176791e-07,0,0,33,33,0,0,0
47,2116.963,up,40.0000,1.458002e-04,7.845243e-06,121.0648,2.000000e-05,6.217129e-08,0.5359,4,1,-4.048203e-06,6.720111e-06,1.186440e-04,40.0000,0,4.0000,13.3208,40.0000,40.0000,13,predictive_hysteretic,7.269553e-06,1.303923e-07,7.791122e-06,13,predictive_hold,0,0,1.000000e-07,0,0,33,33,0,0,0
48,2161.182,up,50.0000,1.457473e-04,9.008832e-06,119.1343,2.000000e-05,1.614117e-07,0.4033,4,1,-4.386022e-06,7.869045e-06,1.510500e-04,49.9999,0,4.0000,13.3177,49.9999,50.0000,13,predictive_hysteretic,9.484426e-06,1.275824e-07,9.994756e-06,13,predictive_hold,0,0,1.341606e-07,0,0,33,33,0,0,0
