# Run=pixel_018 DC hysteresis follow-up
# theta_i_HWP_deg=7.895
# V_AC_Vpp=9.0
# ANL_peak_deg=211.271
# Q_null_deg=46.854
# A_null_deg=166.278
# EO_lockin_reference_phase_deg=6.47806790853
# Rotation_reference_phase_deg=6.66211508547
# DC_fringe_null_power_W=3.74088421053e-06
# DC_fringe_quadrature_power_W=0.000197895362406
# DC_fringe_bright_power_W=0.000392049840602
# DC_HYST_VMAX=40.0
# DC_HYST_COARSE_STEP=5.0
# DC_HYST_FINE_STEP=2.5
# DC_HYST_FINE_LIMIT=10.0
# DC_HYST_GRID_PROFILE=center_dense
# DC_HYST_SPACING=centre-dense standard (+/-[40, 30, 25, 20, 15, 12.5, 10, 7.5, 5, 2.5, 1.25, 0] V, including 0 V)
# DC_HYST_VOLTAGE_LEVELS_V=[-40.0,-30.0,-25.0,-20.0,-15.0,-12.5,-10.0,-7.5,-5.0,-2.5,-1.25,0.0,1.25,2.5,5.0,7.5,10.0,12.5,15.0,20.0,25.0,30.0,40.0]
# Trajectory=+->->+ (saturated)
# Cycles=1
# Fine_windows=[]
# Poling_dwell_s=30.0
# Lock_in_settle_s=2.5
# Lock_in_avg_readings=4
# Lock_in_read_delay_s=2.0
# Lock_in_tc_index=14
# Lock_in_sensitivity_index=16
# Lock_in_range_mode=fixed
# Lock_in_range_changes=0
# Lock_in_range_rescue_rereads=0
# Lock_in_input_overload_points=0
# Lock_in_output_overload_points=0
# AC_dither_Vpp=4.0
# Voltage_sequence=DC-only_pole_then_gated_AC_measurement
# AC_enabled_during_DC_ramp_or_poling=False
# SMU_electrical_sample_phase=after_DC_poling_before_AC_enable
# SMU_V_read_semantics=measured_terminal_voltage
# SMU_DC_readback_tolerance_V=0.5
# SMU_DC_readback_attempts=3
# Compliance_A=0.03
# N_compliance_trips=0
idx,t_s,branch,V_dc_V,P_dc_W,LockIn_Mag_V,LockIn_Phase_deg,LockIn_Sens_V,LockIn_Mag_Std_V,LockIn_Phase_Std_deg,N_ok,cycle,LockIn_X_V,LockIn_Y_V,SMU_I_A,SMU_V_read_V,compliance_tripped,AC_Vpp,AC_measurement_window_s,SMU_V_measured_V,SMU_V_set_V,LockIn_Sens_Index,LockIn_Range_Mode,LockIn_Range_Predicted_V,LockIn_Range_Noise_Prior_V,LockIn_Range_Upper_Bound_V,LockIn_Range_Requested_Index,LockIn_Range_Change_Reason,LockIn_Range_Changed,LockIn_Range_Rescue_Reread,LockIn_XY_Noise_Sigma_V,LockIn_Overload_Byte,LockIn_Overload_Byte_Observed,LockIn_Status_Byte,LockIn_Status_Byte_Observed,LockIn_Output_Overload_Observed,LockIn_Output_Overload_Final,LockIn_Input_Overload
21,965.431,down,-30.0000,2.029237e-04,2.228484e-05,-172.0141,2.000000e-04,1.278906e-07,0.2491,4,1,-2.206873e-05,-3.096032e-06,-2.359850e-03,-30.0000,0,4.0000,13.3062,-30.0000,-30.0000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.151256e-07,0,0,33,33,0,0,0
22,1009.634,down,-40.0000,2.046499e-04,3.105995e-05,-173.5352,2.000000e-04,1.505183e-07,0.1142,4,1,-3.086245e-05,-3.497109e-06,-3.320180e-03,-40.0000,0,4.0000,13.3037,-40.0000,-40.0000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.535993e-07,0,0,33,33,0,0,0
23,1053.823,up,-30.0000,2.027344e-04,2.623488e-05,-172.4852,2.000000e-04,5.001835e-08,0.2037,4,1,-2.600955e-05,-3.431039e-06,-2.346390e-03,-30.0000,0,4.0000,13.3031,-30.0000,-30.0000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.000000e-07,0,0,33,33,0,0,0
24,1097.645,up,-25.0000,2.020931e-04,2.305953e-05,-171.5381,2.000000e-04,1.057415e-07,0.4206,4,1,-2.280851e-05,-3.393246e-06,-1.919380e-03,-25.0000,0,4.0000,13.3244,-25.0000,-25.0000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.614725e-07,0,0,33,33,0,0,0
25,1141.425,up,-20.0000,2.018934e-04,1.941950e-05,-170.5400,2.000000e-04,7.162861e-08,0.4748,4,1,-1.915541e-05,-3.191767e-06,-1.507930e-03,-20.0000,0,4.0000,13.2937,-20.0000,-20.0000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.591497e-07,0,0,33,33,0,0,0
26,1185.233,up,-15.0000,2.022060e-04,1.503992e-05,-169.5295,2.000000e-04,6.334634e-08,0.2193,4,1,-1.478948e-05,-2.733187e-06,-1.119470e-03,-15.0000,0,4.0000,13.3110,-15.0000,-15.0000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.000000e-07,0,0,33,33,0,0,0
27,1229.085,up,-12.5000,2.025520e-04,1.225968e-05,-168.7249,2.000000e-04,1.294529e-07,0.4794,4,1,-1.202307e-05,-2.397005e-06,-9.312360e-04,-12.5000,0,4.0000,13.3683,-12.5000,-12.5000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.191069e-07,0,0,33,33,0,0,0
28,1272.897,up,-10.0000,2.037056e-04,9.074958e-06,-168.0985,2.000000e-04,7.726845e-08,0.2010,4,1,-8.879878e-06,-1.871532e-06,-7.460800e-04,-10.0000,0,4.0000,13.3257,-10.0000,-10.0000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.000000e-07,0,0,33,33,0,0,0
29,1316.752,up,-7.5000,2.019679e-04,4.794767e-06,-165.6417,2.000000e-04,5.742035e-08,0.6526,4,1,-4.644996e-06,-1.189033e-06,-5.636070e-04,-7.5000,0,4.0000,13.3569,-7.5000,-7.5000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.000000e-07,0,0,33,33,0,0,0
30,1360.592,up,-5.0000,2.023030e-04,4.179788e-06,-170.6430,2.000000e-04,7.099533e-08,0.6706,4,1,-4.124173e-06,-6.795750e-07,-3.786430e-04,-5.0000,0,4.0000,13.3551,-5.0000,-5.0000,16,fixed,nan,nan,nan,16,fixed_range,0,0,1.000000e-07,0,0,33,33,0,0,0
